,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
345,07/11/2012,"₪1,750,000",מרים החשמונאית 26,6212-1191-1,48,דירה בבית קומות 3 קרקע
346,06/11/2012,"₪1,700,000",אנטיגונוס 13,6212-597-8,45,דירה בבית קומות 2 ראשונה
347,21/10/2012,"₪1,599,000",לואי מרשל 19,6212-637-7,44,דירה בבית קומות 2 שניה
348,21/10/2012,"₪1,780,000",פנקס 15,6212-612-9,47,דירה בבית קומות 2 שלישית
349,16/10/2012,"₪2,360,000",דה האז 24,6212-955-3,60,דירה בבית קומות 3 ראשונה
350,12/10/2012,"₪1,550,000",יעקב דה-האז 28,6212-927-3,75,דירה בבית קומות 3 ראשונה
351,24/09/2012,"₪2,400,000",ברנדייס 3,6212-1149-4,72,דירה בבית קומות 3 ראשונה
352,19/07/2012,"₪2,350,000",אבן גבירול 176,6212-1015-11,66,דירה בבית קומות 3 ---
353,11/07/2012,"₪1,960,000",יעקב דה-האז 28,6212-927-8,60,דירה בבית קומות 2.5 ראשונה
354,06/07/2012,"₪2,075,000",מרים החשמונאית 14,6212-987-5,70,דירה בבית קומות 3 ראשונה
355,26/06/2012,"₪2,820,000",יעקב דה-האז 14,6212-590-4,104,דירה בבית קומות 4 ראשונה
356,08/06/2012,"₪1,900,000",דה האז 24,6212-955-3,60,דירה בבית קומות 3 ראשונה
